 

stn;time;rre150z0
CGI;202203180840;0.0
CGI;202203180850;0.0
CGI;202203180900;0.0
CGI;202203180910;0.0
CGI;202203180920;0.0
CGI;202203180930;0.0
CGI;202203180940;0.0
CGI;202203180950;0.0
CGI;202203181000;0.0
CGI;202203181010;0.0
CGI;202203181020;0.0
CGI;202203181030;0.0
CGI;202203181040;0.0
CGI;202203181050;0.0
CGI;202203181100;0.0
CGI;202203181110;0.0
CGI;202203181120;0.0
CGI;202203181130;0.0
CGI;202203181140;0.0
CGI;202203181150;0.0
CGI;202203181200;0.0
CGI;202203181210;0.0
CGI;202203181220;0.0
CGI;202203181230;0.0
CGI;202203181240;0.0
CGI;202203181250;0.0
CGI;202203181300;0.0
CGI;202203181310;0.0
CGI;202203181320;0.0
CGI;202203181330;0.0
CGI;202203181340;0.0
CGI;202203181350;0.0
CGI;202203181400;0.0
CGI;202203181410;0.0
CGI;202203181420;0.0
CGI;202203181430;0.0
CGI;202203181440;0.0
CGI;202203181450;0.0
CGI;202203181500;0.0
CGI;202203181510;0.0
CGI;202203181520;0.0
CGI;202203181530;0.0
CGI;202203181540;0.0
CGI;202203181550;0.0
CGI;202203181600;0.0
CGI;202203181610;0.0
CGI;202203181620;0.0
CGI;202203181630;0.0
CGI;202203181640;0.0
CGI;202203181650;0.0
CGI;202203181700;0.0
CGI;202203181710;0.0
CGI;202203181720;0.0
CGI;202203181730;0.0
CGI;202203181740;0.0
CGI;202203181750;0.0
CGI;202203181800;0.0
CGI;202203181810;0.0
CGI;202203181820;0.0
CGI;202203181830;0.0
CGI;202203181840;0.0
CGI;202203181850;0.0
CGI;202203181900;0.0
CGI;202203181910;0.0
CGI;202203181920;0.0
CGI;202203181930;0.0
CGI;202203181940;0.0
CGI;202203181950;0.0
CGI;202203182000;0.0
CGI;202203182010;0.0
CGI;202203182020;0.0
CGI;202203182030;0.0
CGI;202203182040;0.0
CGI;202203182050;0.0
CGI;202203182100;0.0
CGI;202203182110;0.0
CGI;202203182120;0.0
CGI;202203182130;0.0
CGI;202203182140;0.0
CGI;202203182150;0.0
CGI;202203182200;0.0
CGI;202203182210;0.0
CGI;202203182220;0.0
CGI;202203182230;0.0
CGI;202203182240;0.0
CGI;202203182250;0.0
CGI;202203182300;0.0
CGI;202203182310;0.0
CGI;202203182320;0.0
CGI;202203182330;0.0
CGI;202203182340;0.0
CGI;202203182350;0.0
CGI;202203190000;0.0
CGI;202203190010;0.0
CGI;202203190020;0.0
CGI;202203190030;0.0
CGI;202203190040;0.0
CGI;202203190050;0.0
CGI;202203190100;0.0
CGI;202203190110;0.0
CGI;202203190120;0.0
CGI;202203190130;0.0
CGI;202203190140;0.0
CGI;202203190150;0.0
CGI;202203190200;0.0
CGI;202203190210;0.0
CGI;202203190220;0.0
CGI;202203190230;0.0
CGI;202203190240;0.0
CGI;202203190250;0.0
CGI;202203190300;0.0
CGI;202203190310;0.0
CGI;202203190320;0.0
CGI;202203190330;0.0
CGI;202203190340;0.0
CGI;202203190350;0.0
CGI;202203190400;0.0
CGI;202203190410;0.0
CGI;202203190420;0.0
CGI;202203190430;0.0
CGI;202203190440;0.0
CGI;202203190450;0.0
CGI;202203190500;0.0
CGI;202203190510;0.0
CGI;202203190520;0.0
CGI;202203190530;0.0
CGI;202203190540;0.0
CGI;202203190550;0.0
CGI;202203190600;0.0
CGI;202203190610;0.0
CGI;202203190620;0.0
CGI;202203190630;0.0
CGI;202203190640;0.0
CGI;202203190650;0.0
CGI;202203190700;0.0
CGI;202203190710;0.0
CGI;202203190720;0.0
CGI;202203190730;0.0
CGI;202203190740;0.0
CGI;202203190750;0.0
CGI;202203190800;0.0
CGI;202203190810;0.0
CGI;202203190820;0.0
CGI;202203190830;0.0
CGI;202203190840;0.0
CGI;202203190850;0.0
CGI;202203190900;0.0
CGI;202203190910;0.0
CGI;202203190920;0.0
CGI;202203190930;0.0
CGI;202203190940;0.0
CGI;202203190950;0.0
CGI;202203191000;0.0
CGI;202203191010;0.0
CGI;202203191020;0.0
CGI;202203191030;0.0
CGI;202203191040;0.0
CGI;202203191050;0.0
CGI;202203191100;0.0
CGI;202203191110;0.0
CGI;202203191120;0.0
CGI;202203191130;0.0
CGI;202203191140;0.0
CGI;202203191150;0.0
CGI;202203191200;0.0
CGI;202203191210;0.0
CGI;202203191220;0.0
CGI;202203191230;0.0
CGI;202203191240;0.0
CGI;202203191250;0.0
CGI;202203191300;0.0
CGI;202203191310;0.0
CGI;202203191320;0.0
CGI;202203191330;0.0
CGI;202203191340;0.0
CGI;202203191350;0.0
CGI;202203191400;0.0
CGI;202203191410;0.0
CGI;202203191420;0.0
CGI;202203191430;0.0
CGI;202203191440;0.0
CGI;202203191450;0.0
CGI;202203191500;0.0
CGI;202203191510;0.0
CGI;202203191520;0.0
